interest_rate,credit,march,may,previous,duration,y
4.921,0,0,0,0,171,yes
1.04,0,0,1,1,712,yes
4.12,0,0,1,0,104,no
4.97,0,0,0,0,39,no
0.81,0,0,2,0,229,yes
4.962,0,0,0,0,311,no
0.635,1,0,0,0,238,yes
0.742,0,0,1,0,364,yes
1.25,0,1,0,0,133,no
1.365,0,0,0,0,261,yes
4.859,0,1,0,0,389,no
4.864,0,1,0,0,160,no
4.961,0,0,0,0,70,no
0.706,0,0,1,1,206,yes
0.73,0,0,2,0,281,yes
0.74,0,0,2,1,166,yes
4.968,0,0,0,0,299,no
4.021,0,0,1,0,258,no
4.12,0,0,1,0,1011,yes
0.722,0,0,0,0,169,yes
0.773,0,0,0,0,355,no
0.883,0,0,0,0,254,yes
4.958,0,0,0,0,96,no
4.968,0,0,0,0,217,no
4.968,0,0,0,0,85,yes
0.854,0,0,0,0,232,yes
0.851,0,0,0,0,184,yes
1.365,0,0,0,0,571,yes
1.016,0,0,2,0,621,yes
0.884,0,0,0,0,600,yes
4.962,0,0,0,0,59,no
4.962,0,0,0,0,1130,yes
4.963,0,0,0,0,171,no
1.405,0,0,0,0,840,yes
4.965,0,0,0,0,206,no
0.715,0,0,0,0,747,yes
1.268,0,0,0,0,263,no
4.021,0,0,0,0,331,yes
1.313,0,1,0,0,334,no
4.076,0,0,0,0,268,no
0.723,0,0,0,0,208,yes
0.668,0,1,3,1,268,yes
4.855,0,1,0,0,346,no
1.726,1,0,1,1,363,yes
1.405,0,0,1,0,113,no
1.291,0,1,1,0,173,no
4.153,0,0,1,0,68,no
1.26,0,0,0,0,539,yes
4.96,0,0,0,0,35,no
4.965,0,0,0,0,119,no
1.313,0,1,0,0,728,yes
1.27,0,1,0,0,412,yes
4.961,0,0,0,0,314,no
1.27,0,1,0,0,99,no
4.856,0,1,0,0,25,no
0.977,0,0,2,1,252,yes
1.405,0,0,0,0,1348,yes
1.291,0,1,0,0,314,no
1.344,0,1,0,0,955,yes
1.602,1,0,0,0,224,yes
1.405,0,0,1,0,406,no
0.706,0,0,1,0,205,yes
1.406,0,0,0,0,266,yes
4.963,0,0,0,0,153,no
0.677,0,1,0,0,195,yes
0.881,0,0,0,0,316,yes
4.966,0,0,0,0,768,yes
0.748,0,0,2,0,300,yes
4.858,0,1,0,0,483,yes
4.968,0,0,0,0,391,no
1.072,0,0,0,0,276,yes
4.965,0,0,0,0,275,no
4.857,0,1,0,0,175,no
4.86,0,1,0,0,126,no
4.855,0,1,0,0,101,no
4.855,0,1,0,0,653,yes
0.767,0,0,0,0,286,yes
4.856,0,1,0,0,650,yes
0.652,1,0,2,1,450,yes
1.25,0,1,0,0,239,no
4.856,0,1,0,0,125,no
4.153,0,0,0,0,1855,yes
0.884,0,0,2,0,128,no
4.858,0,1,0,0,951,no
4.963,0,0,0,0,545,no
4.957,0,0,0,0,1019,yes
1.299,0,1,0,0,689,yes
4.191,0,0,0,0,58,no
1.799,1,0,0,0,156,yes
4.967,0,0,0,0,626,no
1.334,0,1,1,0,984,yes
1.344,0,1,1,1,632,no
1.25,0,1,0,0,1068,yes
0.835,0,0,3,1,309,yes
1.262,0,0,0,0,384,yes
4.97,0,0,0,0,846,yes
4.966,0,0,0,0,264,no
0.879,0,0,4,0,173,yes
4.153,0,0,0,0,288,no
4.794,0,0,0,0,154,yes
1.268,0,0,0,0,151,no
1.313,0,1,1,0,88,no
4.959,0,0,0,0,394,no
1.313,0,1,0,0,474,no
0.644,0,0,1,1,330,yes
0.896,0,0,1,1,292,yes
4.963,0,0,0,0,141,no
4.963,0,0,0,0,154,no
4.958,0,0,0,0,1150,yes
0.882,0,0,3,0,194,yes
1.687,1,0,1,0,113,no
0.79,0,0,0,0,423,yes
0.639,1,0,2,1,222,yes
4.964,0,0,0,0,345,no
1.327,0,1,0,0,141,no
4.963,0,0,0,0,275,no
4.966,0,0,0,0,809,yes
4.963,0,0,0,0,132,no
4.962,0,0,0,0,207,no
4.857,0,1,0,0,16,no
4.963,0,0,0,0,98,no
4.957,0,0,0,0,1806,yes
0.883,0,0,2,0,175,yes
0.715,0,0,0,0,193,yes
1.313,0,1,0,0,374,no
1.27,0,1,0,0,86,no
0.699,0,1,1,0,460,yes
1.05,0,0,1,1,207,no
4.959,0,0,0,0,11,no
1.423,0,0,0,0,496,yes
4.962,0,0,0,0,80,no
1.41,0,0,0,0,483,no
1.26,0,0,0,0,269,yes
4.962,0,0,0,0,149,no
4.96,0,0,0,0,617,yes
0.771,0,0,2,1,323,yes
1.365,0,0,0,0,815,yes
4.965,0,0,0,0,126,no
4.961,0,0,0,0,267,no
1.799,1,0,0,0,320,yes
4.963,0,0,0,0,697,yes
4.857,0,1,0,0,274,no
1.291,0,1,0,0,1062,yes
0.898,0,0,2,0,209,no
4.858,0,1,0,0,259,no
0.715,0,0,0,0,854,yes
0.878,0,0,0,0,256,yes
4.961,0,0,0,0,82,no
4.959,0,0,0,0,693,yes
1.029,0,0,1,1,738,yes
1.757,1,0,0,0,63,yes
1.423,0,0,0,0,207,yes
4.859,0,1,0,0,51,no
1.614,1,0,1,0,406,yes
0.889,0,0,1,0,546,yes
4.153,0,0,1,0,64,no
4.857,0,1,0,0,158,no
1.354,0,1,0,0,742,yes
4.857,0,1,0,0,211,no
4.864,0,0,0,0,633,yes
1.531,1,0,0,0,179,yes
1.244,0,1,0,0,1340,yes
4.021,0,0,0,0,980,yes
4.966,0,0,0,0,454,no
4.857,0,1,0,0,212,no
4.865,0,0,0,0,361,no
4.962,0,0,0,0,873,yes
4.96,0,0,0,0,629,yes
0.87,0,0,0,0,1148,yes
0.717,0,0,1,0,229,yes
1.244,0,1,1,0,202,no
1.344,0,1,0,0,342,no
1.028,0,0,0,0,383,no
4.076,0,0,0,0,151,no
0.652,1,0,3,1,568,yes
4.859,0,1,0,0,97,no
1.281,0,1,1,0,69,no
0.898,0,0,0,0,1013,no
1.25,0,1,1,0,1357,yes
1.354,0,1,1,1,417,yes
4.021,0,0,0,0,102,no
4.957,0,0,0,0,873,yes
0.655,1,0,2,0,525,yes
4.076,0,0,1,0,180,no
1.405,0,0,1,0,609,no
1.291,0,1,1,0,72,no
4.965,0,0,0,0,73,no
4.865,0,0,0,0,151,no
1.281,0,0,0,0,458,yes
0.704,0,0,2,1,238,yes
1.299,0,1,1,0,82,no
0.879,0,0,0,0,363,yes
4.966,0,0,0,0,396,yes
1.453,0,0,0,0,463,yes
0.644,0,0,0,0,634,yes
4.959,0,0,0,0,1422,yes
4.957,0,0,0,0,251,no
1.406,0,0,0,0,163,yes
4.961,0,0,0,0,135,no
1.334,0,1,0,0,345,no
1.334,0,1,0,0,144,no
4.864,0,0,0,0,525,no
4.965,0,0,0,0,388,yes
1.25,0,1,0,0,760,yes
1.392,0,0,0,0,360,yes
4.962,0,0,0,0,549,no
4.961,0,0,0,0,107,no
4.968,0,0,0,0,1311,yes
0.74,0,0,1,0,294,yes
0.904,0,0,0,0,544,yes
1.264,0,1,0,0,143,no
4.856,0,1,0,0,273,no
1.344,0,1,0,0,201,no
4.955,0,0,0,0,762,yes
1.327,0,1,0,0,143,no
4.864,0,1,0,0,886,yes
1.244,0,1,0,0,2301,yes
4.076,0,0,0,0,252,no
4.962,0,0,0,0,958,no
4.964,0,0,0,0,76,no
4.857,0,1,0,0,1234,yes
4.12,0,0,0,0,265,no
0.849,0,0,1,0,204,yes
4.957,0,0,0,0,157,no
0.846,0,0,1,0,250,yes
4.857,0,1,0,0,456,no
1.41,0,0,1,0,114,no
0.898,0,0,0,0,308,yes
4.153,0,0,0,0,154,no
1.365,0,0,1,1,185,no
4.858,0,1,0,0,73,no
4.965,0,0,0,0,73,no
0.959,0,0,0,0,604,no
4.858,0,1,0,0,314,no
0.697,0,1,0,0,196,yes
4.963,0,0,0,0,184,no
4.965,0,0,0,0,257,no
4.864,0,0,0,0,188,no
1.268,0,0,0,0,146,yes
4.856,0,1,0,0,216,no
4.965,0,0,0,0,1152,yes
1.313,0,1,0,0,553,no
1.266,0,0,1,1,174,yes
4.96,0,0,0,0,159,no
0.714,0,0,1,1,183,yes
4.076,0,0,0,0,49,no
0.879,0,0,3,1,249,yes
4.864,0,0,0,0,941,yes
1.26,0,0,0,0,181,yes
4.963,0,0,0,0,988,yes
1.453,0,0,0,0,353,no
0.797,0,0,0,0,569,yes
4.855,0,1,0,0,461,no
0.716,0,0,1,1,178,yes
4.967,0,0,0,0,109,no
4.963,0,0,0,0,113,no
4.964,0,0,0,0,111,no
4.963,0,0,0,0,73,no
0.649,1,0,4,1,213,yes
1.27,0,1,0,0,322,no
0.714,0,0,2,0,130,yes
4.961,0,0,0,0,1424,yes
0.827,0,0,0,0,9,no
1.313,0,1,0,0,1276,yes
4.153,0,0,0,0,854,yes
4.958,0,0,0,0,1319,yes
0.904,0,0,3,1,203,yes
4.864,0,1,0,0,56,no
1.048,0,0,2,0,199,no
1.262,0,0,0,0,690,yes
1.479,0,0,0,0,230,no
1.354,0,1,1,1,673,yes
0.72,0,0,4,1,458,yes
1.299,0,1,1,0,475,yes
4.153,0,0,0,0,135,no
1.498,0,0,0,0,1176,yes
4.855,0,1,0,0,344,no
4.866,0,0,0,0,40,no
0.883,0,0,1,1,219,yes
1.244,0,1,0,0,565,yes
4.967,0,0,0,0,2653,yes
0.644,0,0,1,1,218,yes
4.96,0,0,0,0,141,no
0.827,0,0,0,0,375,yes
1.266,0,1,0,0,578,yes
4.858,0,1,0,0,58,no
1.26,0,0,0,0,491,yes
0.899,0,0,1,0,592,yes
4.968,0,0,0,0,188,no
0.722,0,0,1,1,424,yes
1.52,1,0,0,0,163,yes
4.021,0,0,0,0,11,no
0.715,0,0,1,1,95,yes
4.957,0,0,0,0,191,no
4.966,0,0,0,0,116,no
1.41,0,0,0,0,198,no
1.281,0,1,0,0,149,no
4.12,0,0,0,0,424,yes
4.962,0,0,0,0,1009,yes
4.856,0,1,0,0,247,no
0.899,0,0,2,1,295,yes
4.964,0,0,0,0,393,no
4.964,0,0,0,0,155,no
1.354,0,1,0,0,1602,yes
4.856,0,1,0,0,1138,yes
1.41,0,0,0,0,285,yes
0.728,0,0,0,0,418,yes
1.03,0,0,0,0,403,yes
4.963,0,0,0,0,152,no
4.965,0,0,0,0,224,no
4.963,0,0,0,0,109,no
0.714,0,0,0,0,805,yes
0.904,0,0,3,1,244,yes
1.281,0,1,0,0,314,yes
0.739,0,0,0,0,233,yes
4.963,0,0,0,0,183,no
4.962,0,0,0,0,662,yes
0.843,0,0,0,0,232,yes
4.153,0,0,1,0,180,no
1.405,0,0,0,0,336,no
1.048,0,0,2,0,74,no
4.864,0,0,0,0,148,no
0.861,0,0,0,0,405,yes
4.864,0,0,0,0,143,no
1.291,0,1,0,0,59,no
1.05,0,0,3,1,449,yes
0.797,0,0,1,0,211,yes
4.191,0,0,1,1,1091,yes
1.327,0,1,0,0,239,no
1.299,0,1,0,0,262,no
4.856,0,1,0,0,228,no
4.963,0,0,0,0,379,no
4.967,0,0,0,0,585,no
0.714,0,0,1,1,338,yes
1.029,0,0,0,0,123,no
4.856,0,1,0,0,374,no
1.262,0,0,2,0,712,yes
4.856,0,1,0,0,83,no
4.857,0,1,0,0,159,no
4.864,0,0,0,0,357,no
0.904,0,0,1,1,1087,yes
1.313,0,1,0,0,340,no
4.963,0,0,0,0,898,no
4.021,0,0,1,0,401,no
1.259,0,1,1,1,582,yes
1.334,0,1,2,0,519,yes
4.967,0,0,0,0,455,yes
4.153,0,0,0,0,257,no
1.268,0,0,0,0,258,yes
1.365,0,0,0,0,482,yes
4.855,0,1,0,0,42,no
4.076,0,0,1,0,531,yes
4.963,0,0,0,0,259,no
0.879,0,0,1,1,530,yes
0.683,0,1,4,1,289,yes
4.961,0,0,0,0,383,no
4.962,0,0,0,0,227,no
0.721,0,0,0,0,346,yes
4.021,0,0,0,0,248,no
0.883,0,0,0,0,408,yes
0.715,0,0,1,1,179,yes
1.041,0,0,0,0,344,yes
4.962,0,0,0,0,771,yes
4.963,0,0,0,0,698,no
1.415,0,0,0,0,129,yes
0.706,0,0,2,1,387,yes
4.864,0,0,0,0,404,no
4.856,0,1,0,0,270,no
4.855,0,1,0,0,241,no
4.855,0,1,0,0,135,no
1.244,0,1,0,0,317,no
4.965,0,0,0,0,286,no
1.453,0,0,0,0,895,yes
4.964,0,0,0,0,109,no
4.966,0,0,0,0,151,no
4.865,0,0,0,0,230,yes
4.859,0,1,0,0,57,no
1.039,0,0,5,1,655,yes
4.962,0,0,0,0,367,yes
0.773,0,0,2,1,260,yes
4.856,0,1,0,0,446,no
4.076,0,0,0,0,653,yes
4.964,0,0,0,0,113,no
4.966,0,0,0,0,645,yes
0.859,0,0,1,0,587,yes
0.722,0,0,0,0,142,yes
1.281,0,1,1,0,829,yes
4.865,0,0,0,0,102,no
0.873,0,0,0,0,148,yes
0.884,0,0,1,1,1019,yes
4.962,0,0,0,0,537,yes
1.4,0,0,0,0,160,yes
1.281,0,1,1,1,204,no
4.957,0,0,0,0,164,no
1.344,0,1,1,0,523,no
0.982,0,0,0,0,362,yes
4.076,0,0,0,0,151,no
4.97,0,0,0,0,167,no
4.962,0,0,0,0,136,no
4.963,0,0,0,0,102,no
4.864,0,1,0,0,1980,yes
1.281,0,0,0,0,243,yes
1.26,0,0,0,0,192,no
1.049,0,0,1,1,482,yes
4.961,0,0,0,0,477,no
4.076,0,0,0,0,252,no
0.714,0,0,0,0,1127,yes
1.344,0,1,0,0,459,no
0.677,0,1,4,1,211,yes
1.27,0,1,1,1,193,yes
1.313,0,1,1,0,395,no
4.961,0,0,0,0,223,no
4.963,0,0,0,0,686,yes
4.86,0,1,0,0,51,no
1.252,0,0,0,0,355,yes
4.962,0,0,0,0,298,no
4.962,0,0,0,0,42,no
1.365,0,0,0,0,1143,yes
0.645,0,0,0,0,688,yes
1.27,0,1,0,0,628,yes
4.959,0,0,0,0,706,yes
0.885,0,0,2,1,608,yes
4.153,0,0,0,0,250,no
0.735,0,0,0,0,107,yes
4.965,0,0,0,0,716,yes
4.859,0,1,0,0,619,yes
4.864,0,0,0,0,406,no
4.963,0,0,0,0,73,no
1.334,0,1,0,0,127,no
4.153,0,0,0,0,187,no
0.646,1,0,1,1,180,yes
1.266,0,1,0,0,326,yes
1.405,0,0,1,0,109,yes
0.9,0,0,2,1,470,yes
4.076,0,0,0,0,73,no
1.05,0,0,0,0,141,no
1.029,0,0,1,0,115,no
0.748,0,0,1,1,171,no
4.961,0,0,0,0,498,no
1.268,0,0,0,0,365,yes
4.959,0,0,0,0,10,no
4.021,0,0,1,0,796,yes
0.877,0,0,2,1,279,yes
1.327,0,1,0,0,476,yes
4.965,0,0,0,0,479,yes
1.266,0,1,1,0,225,no
1.334,0,1,0,0,204,no
0.861,0,0,2,1,806,yes
0.879,0,0,0,0,290,no
0.877,0,0,5,1,473,yes
4.965,0,0,0,0,142,no
1.313,0,1,0,0,487,no
4.961,0,0,0,0,132,no
4.856,0,1,0,0,92,no
4.12,0,0,0,0,1468,yes
4.963,0,0,0,0,36,no
0.697,0,1,4,0,131,no
0.639,1,0,0,0,215,yes
4.12,0,0,0,0,499,no
1.281,0,1,1,0,809,yes
4.966,0,0,0,0,389,no
4.965,0,0,0,0,168,no
4.968,0,0,0,0,766,yes
0.714,0,0,1,0,192,yes
1.41,0,0,1,0,48,no
4.964,0,0,0,0,181,no
4.12,0,0,0,0,288,no
1.26,0,0,2,0,431,yes
0.9,0,0,1,1,153,yes
1.354,0,1,0,0,617,yes
4.857,0,1,0,0,293,no
4.857,0,1,0,0,157,no
0.883,0,0,4,0,167,yes
1.405,0,0,0,0,180,no
0.702,0,0,0,0,7,no
4.021,0,0,0,0,1074,yes
1.264,0,1,0,0,377,yes
4.962,0,0,0,0,1441,yes
4.12,0,0,0,0,30,no
4.857,0,1,0,0,154,no
1.26,0,0,0,0,121,yes
0.884,0,0,1,0,259,no
0.72,0,0,4,1,422,yes
1.405,0,0,1,0,307,yes
1.244,0,1,0,0,245,no
4.962,0,0,0,0,144,no
4.964,0,0,0,0,113,no
1.25,0,1,0,0,532,yes
0.719,0,0,1,1,1628,yes
4.961,0,0,0,0,838,yes
4.864,0,0,0,0,767,yes
1.327,0,1,0,0,1148,yes
4.866,0,0,0,0,590,yes
4.12,0,0,0,0,102,no
1.64,1,0,2,0,268,yes
1.405,0,0,1,0,548,no
0.652,1,0,0,0,265,yes
4.96,0,0,0,0,225,no
4.864,0,1,0,0,111,no
1.41,0,0,1,0,1365,yes
4.963,0,0,0,0,605,no
0.899,0,0,1,0,261,yes
4.858,0,1,0,0,634,no
1.334,0,1,0,0,293,no
1.327,0,1,0,0,93,no
0.714,0,0,1,1,495,yes
4.857,0,1,0,0,178,no
1.035,0,0,1,1,1868,yes
4.963,0,0,0,0,94,no
4.963,0,0,0,0,280,no
4.961,0,0,0,0,211,no
1.268,0,0,0,0,657,yes
0.715,0,0,1,1,206,yes
4.191,0,0,0,0,984,yes
1.299,0,1,0,0,79,no
4.855,0,1,0,0,459,no
4.961,0,0,0,0,204,no
4.965,0,0,0,0,135,no
0.977,0,0,0,0,160,no
0.921,0,0,0,0,139,yes
1.334,0,1,0,0,147,no
1.041,0,0,0,0,244,yes
4.857,0,1,0,0,191,no
1.032,0,0,1,0,226,yes
4.859,0,1,0,0,136,no
4.962,0,0,0,0,96,no
4.964,0,0,0,0,81,no
4.191,0,0,1,0,651,yes
4.963,0,0,0,0,984,no
0.9,0,0,0,0,111,no
0.782,0,0,3,1,609,yes
4.968,0,0,0,0,9,no
1.244,0,1,0,0,903,yes
4.857,0,1,0,0,503,no
1.299,0,1,0,0,1114,no
4.857,0,1,0,0,160,no
4.963,0,0,0,0,72,no
0.899,0,0,4,0,481,yes
4.963,0,0,0,0,173,no
1.059,0,0,0,0,308,yes
0.886,0,0,1,0,481,yes
4.858,0,1,0,0,173,no
1.085,0,0,0,0,92,no
4.343,0,0,0,0,486,yes
1.26,0,0,2,0,252,no
0.879,0,0,0,0,327,yes
1.354,0,1,1,0,775,yes
4.96,0,0,0,0,113,no
4.965,0,0,0,0,313,no
4.864,0,1,0,0,855,yes
0.873,0,0,1,1,254,yes
4.855,0,1,0,0,168,no
0.884,0,0,0,0,291,yes
1.039,0,0,0,0,545,yes
4.958,0,0,0,0,651,yes
1.266,0,0,0,0,166,yes
4.958,0,0,0,0,544,no
4.967,0,0,0,0,181,no
4.864,0,0,0,0,291,no
1.405,0,0,0,0,257,no
0.652,1,0,1,1,104,yes
0.72,0,0,0,0,416,yes
4.96,0,0,0,0,447,no
4.965,0,0,0,0,823,yes
4.86,0,1,0,0,177,no
1.25,0,1,1,0,197,no
4.962,0,0,0,0,93,no
4.857,0,1,0,0,1183,yes
4.966,0,0,0,0,124,no
4.962,0,0,0,0,212,no
1.65,1,0,0,0,139,yes
4.855,0,1,0,0,1119,yes
1.405,0,0,0,0,148,no
0.697,0,1,3,1,382,yes
1.281,0,1,0,0,16,no
4.961,0,0,0,0,797,no
0.77,0,0,1,1,89,yes
4.957,0,0,0,0,195,no
0.878,0,0,1,1,272,yes
4.961,0,0,0,0,94,no
0.884,0,0,2,1,253,yes
4.962,0,0,0,0,250,no
1.483,0,0,0,0,285,no
4.962,0,0,0,0,784,yes
4.86,0,1,0,0,263,no
0.715,0,0,1,1,347,yes
4.968,0,0,0,0,84,no
0.878,0,0,1,1,244,yes
0.659,0,0,1,1,882,yes
0.879,0,0,0,0,429,yes
4.957,0,0,0,0,674,yes
1.244,0,1,0,0,434,no
4.963,0,0,0,0,1327,yes
4.964,0,0,0,0,505,yes
4.959,0,0,0,0,50,no
1.25,0,1,0,0,1190,yes
1.043,0,0,1,0,184,yes
4.864,0,0,0,0,87,no
4.963,0,0,0,0,638,yes
0.682,0,1,0,0,292,yes
4.076,0,0,1,0,370,no
4.968,0,0,0,0,630,yes
4.856,0,1,0,0,233,no
4.963,0,0,0,0,77,no
4.96,0,0,0,0,848,yes
4.962,0,0,0,0,570,yes
4.966,0,0,0,0,183,no
0.72,0,0,0,0,212,yes
1.291,0,1,0,0,458,yes
4.856,0,1,0,0,134,no
4.964,0,0,0,0,206,no
4.076,0,0,0,0,205,no
0.879,0,0,0,0,6,no
1.313,0,1,1,0,83,no
0.742,0,0,1,0,1207,yes
4.964,0,0,0,0,336,yes
4.962,0,0,0,0,16,no
4.021,0,0,0,0,749,yes
0.851,0,0,0,0,78,yes
4.859,0,1,0,0,266,no
1.405,0,0,0,0,156,yes
1.479,0,0,1,0,1203,yes
4.958,0,0,0,0,211,no
4.963,0,0,0,0,3643,yes
4.858,0,1,0,0,938,yes
4.857,0,1,0,0,188,no
0.699,0,1,1,1,181,yes
0.883,0,0,1,0,176,yes
4.96,0,0,0,0,1360,yes
0.722,0,0,0,0,164,yes
4.021,0,0,0,0,888,no
0.829,0,0,0,0,212,yes
4.963,0,0,0,0,139,no
0.655,1,0,1,0,141,yes
4.076,0,0,0,0,126,no
4.153,0,0,0,0,95,no
4.153,0,0,0,0,372,no
0.905,0,0,1,1,218,yes
1.266,0,1,1,0,165,yes
1.26,0,0,0,0,617,yes
1.299,0,1,1,0,232,no
4.961,0,0,0,0,849,yes
4.968,0,0,0,0,132,no
0.709,0,0,1,0,367,yes
1.299,0,1,0,0,123,no
0.788,0,0,1,1,261,yes
4.856,0,1,0,0,130,no
0.702,0,0,1,1,347,yes
0.9,0,0,3,1,288,yes
4.963,0,0,0,0,119,no
0.851,0,0,1,1,63,yes
0.72,0,0,0,0,485,yes
1.327,0,1,0,0,263,no
1.281,0,1,0,0,77,no
4.961,0,0,0,0,135,no
1.327,0,1,0,0,1046,yes
1.291,0,1,0,0,725,yes
1.498,0,0,0,0,351,yes
4.12,0,0,0,0,91,no
1.41,0,0,1,0,291,no
4.968,0,0,0,0,81,no
1.266,0,1,0,0,533,yes
4.961,0,0,0,0,952,yes
1.281,0,1,0,0,6,no
1.26,0,0,0,0,372,yes
4.858,0,1,0,0,607,yes
1.778,1,0,0,0,377,yes
1.268,0,0,0,0,166,yes
4.963,0,0,0,0,458,yes
1.264,0,1,1,0,397,yes
1.281,0,1,0,0,34,no
0.739,0,0,2,0,233,no
1.046,0,0,0,0,238,yes
